"BEGIN_YEARMONTH","BEGIN_DAY","END_YEARMONTH","END_DAY","EVENT_ID","STATE","YEAR","MONTH_NAME","INJURIES_DIRECT","INJURIES_INDIRECT","DEATHS_DIRECT","DEATHS_INDIRECT","DAMAGE_PROPERTY","DAMAGE_CROPS","TOR_F_SCALE","TOR_LENGTH","TOR_WIDTH","BEGIN_RANGE","BEGIN_AZIMUTH","BEGIN_LOCATION","END_RANGE","END_AZIMUTH","END_LOCATION","BEGIN_LAT","BEGIN_LON","END_LAT","END_LON"
201011,30,201011,30,269045,"LOUISIANA",2010,"November",0,0,0,0,5000,0,"EF0",1.26,25,1,"WNW","SHUTESTON",1,"NNE","SHUTESTON",30.4366,-92.1172,30.4405,-92.0965
201011,30,201011,30,268819,"SOUTH CAROLINA",2010,"November",0,0,0,0,1500000,NA,"EF1",2.66,125,0,"WSW","EASLEY",2,"NNE","EASLEY",34.829,-82.605,34.863,-82.583
201010,18,201010,18,262425,"ARIZONA",2010,"October",0,0,0,0,10000,0,"EF0",1.23,25,3,"SW","(IGM)MOJAVE CO ARPT",4,"SE","GETZ",35.2023,-113.9737,35.1859,-113.9821
201011,29,201011,29,263493,"LOUISIANA",2010,"November",0,0,0,0,750000,0,"EF4",13.96,400,3,"W","ATLANTA",0,"SW","WINNFIELD JOYCE ARPT",31.7947,-92.808,31.9479,-92.6528
201011,29,201011,29,263494,"LOUISIANA",2010,"November",0,0,0,0,10000,0,"EF1",3.67,100,4,"SE","LUNA",3,"WSW","BOSCO",32.2802,-92.1872,32.2864,-92.1248
201001,20,201001,20,203450,"TEXAS",2010,"January",0,0,0,0,2e+05,0,"EF0",1.48,75,1,"S","FLINT",1,"E","FLINT",32.1923,-95.3492,32.1983,-95.3249
201008,7,201008,7,239944,"NORTH DAKOTA",2010,"August",0,0,0,0,NA,NA,"EF4",2.5,600,3,"SSW","TYLER",3,"SSE","TYLER",46.11,-96.63,46.11,-96.563
201008,7,201008,7,239945,"MINNESOTA",2010,"August",0,0,0,0,NA,NA,"EF0",0.2,25,3,"WNW","TENNEY",3,"WNW","TENNEY",46.06,-96.51,46.06,-96.51
201001,20,201001,20,203451,"TEXAS",2010,"January",0,0,0,0,40000,0,"EF1",0.47,75,1,"SE","COPLEN",1,"ESE","COPLEN",32.24,-95.268,32.2448,-95.2624
201007,17,201007,17,263432,"MINNESOTA",2010,"July",0,0,0,0,NA,NA,"EF0",0.39,15,1,"N","VERNDALE",1,"NNE","VERNDALE",46.4145,-95.02,46.4134,-95.012
201007,22,201007,22,263441,"MINNESOTA",2010,"July",0,0,0,0,NA,NA,"EF0",4.68,15,5,"N","BEMIDJI",2,"SW","TURTLE RIVER",47.5524,-94.9,47.5608,-94.8003
201007,22,201007,22,263443,"MINNESOTA",2010,"July",0,0,0,0,NA,NA,"EF0",0.97,15,3,"N","PERHAM",2,"NW","GRAND VIEW HGTS",46.6434,-95.57,46.6466,-95.5502
201001,20,201001,20,203445,"TEXAS",2010,"January",0,0,0,0,3e+05,0,"EF1",0.31,50,1,"WNW","HARLETON",0,"NNW","HARLETON",32.6735,-94.5777,32.6753,-94.5729
201001,20,201001,20,203447,"TEXAS",2010,"January",0,0,0,0,40000,0,"EF1",0.79,150,3,"N","GENEVA",3,"NNE","GENEVA",31.5095,-93.9232,31.5146,-93.9111
201007,10,201007,10,233151,"MINNESOTA",2010,"July",0,0,0,0,NA,NA,"EF0",0.2,25,3,"N","HOFFMAN",3,"N","HOFFMAN",45.88,-95.79,45.88,-95.79
201006,4,201006,4,245103,"INDIANA",2010,"June",0,0,0,0,0,0,"EF0",0.09,20,1,"NE","WOLCOTT",1,"NE","WOLCOTT",40.7807,-87.0158,40.7813,-87.0143
201008,12,201008,12,276762,"NORTH DAKOTA",2010,"August",0,0,0,0,0,0,"EF0",0.96,25,6,"WSW","LIDGERWOOD",5,"WSW","LIDGERWOOD",46.0566,-97.2599,46.0575,-97.24
201007,13,201007,13,263241,"NORTH DAKOTA",2010,"July",0,0,0,0,NA,NA,"EF1",11.67,250,9,"S","ALICE",3,"WSW","LEONARD",46.6397,-97.55,46.6292,-97.3045
201007,13,201007,13,263246,"NORTH DAKOTA",2010,"July",0,0,0,0,NA,NA,"EF0",0.8,50,3,"SW","LUCCA ARPT",2,"SW","LUCCA ARPT",46.677,-97.7474,46.6744,-97.7309
201007,13,201007,13,263256,"MINNESOTA",2010,"July",0,0,0,0,NA,NA,"EF0",2.4,20,4,"E","WOLVERTON",6,"E","WOLVERTON",46.5796,-96.7051,46.5792,-96.6546
201004,22,201004,22,220451,"COLORADO",2010,"April",0,0,0,0,0,0,"EF0",1.35,50,3,"WSW","KIT CARSON",2,"W","KIT CARSON",38.7515,-102.8332,38.7662,-102.8166
201004,22,201004,22,220454,"COLORADO",2010,"April",0,0,0,0,0,0,"EF0",1.07,25,13,"N","FIRSTVIEW",14,"N","FIRSTVIEW",39.0071,-102.535,39.0192,-102.5225
201003,11,201003,11,219250,"FLORIDA",2010,"March",0,0,0,0,2000,0,"EF0",0.36,20,1,"E","AUBURNDALE",1,"E","AUBURNDALE",28.08,-81.78,28.0807,-81.7742
201004,22,201004,22,222586,"TEXAS",2010,"April",0,0,0,0,0,0,"EF0",4.47,100,11,"ENE","LEFORS",6,"SE","LAKETON",35.4909,-100.6394,35.49,-100.56
201007,13,201007,13,233106,"MINNESOTA",2010,"July",0,0,0,0,NA,NA,"EF0",0.2,25,6,"W","FELTON",6,"W","FELTON",47.08,-96.65,47.08,-96.65
201007,13,201007,13,233107,"MINNESOTA",2010,"July",0,0,0,0,NA,NA,"EF0",0.2,25,0,"N","DENT",0,"N","DENT",46.55,-95.72,46.55,-95.72
201007,14,201007,14,263284,"NORTH DAKOTA",2010,"July",0,0,0,0,2e+06,4e+05,"EF2",9.12,300,3,"W","LISBON MUNI ARPT",4,"E","LISBON",46.45,-97.783,46.4204,-97.5964
201004,13,201004,13,220057,"COLORADO",2010,"April",0,0,0,0,0,0,"EF0",0.5,10,5,"SW","BETHUNE",5,"SW","BETHUNE",39.1706,-102.5336,39.1706,-102.5336
201004,22,201004,22,222573,"TEXAS",2010,"April",0,0,0,0,0,0,"EF0",1.83,50,5,"NE","GOODNIGHT",7,"NE","GOODNIGHT",35.0812,-101.1375,35.0879,-101.1062
201004,22,201004,22,222576,"TEXAS",2010,"April",0,0,0,0,0,0,"EF0",5.24,100,3,"WSW","JERICHO",2,"ESE","JERICHO",35.16,-100.98,35.1589,-100.8873
201008,12,201008,12,242733,"NORTH DAKOTA",2010,"August",0,0,0,0,NA,NA,"EF0",4.61,25,5,"NW","LISBON MUNI ARPT",3,"NW","LISBON",46.51,-97.79,46.4607,-97.7246
201003,10,201003,10,219480,"ARKANSAS",2010,"March",0,0,0,0,0,0,"EF0",2.37,50,1,"S","BELTON",1,"NW","MC CASKILL",33.912,-93.6997,33.9323,-93.6663
201004,22,201004,22,222583,"TEXAS",2010,"April",0,0,0,0,0,0,"EF0",0.59,25,3,"WSW","JERICHO",3,"WSW","JERICHO",35.16,-100.98,35.1618,-100.9699
201004,22,201004,22,222584,"TEXAS",2010,"April",0,0,0,0,0,0,"EF0",0.49,25,7,"W","ALANREED",6,"W","ALANREED",35.22,-100.85,35.2225,-100.8418
201005,17,201005,17,220675,"SOUTH CAROLINA",2010,"May",0,0,0,0,NA,NA,"EF0",0.41,50,4,"SSE","RION",4,"SSE","RION",34.251,-81.097,34.25,-81.09
201010,24,201010,24,259758,"TENNESSEE",2010,"October",0,0,0,0,1e+05,0,"EF1",1.15,200,1,"SSW","PLEASANT HILL",0,"SE","PLEASANT HILL",35.286,-86.3304,35.2975,-86.3155
201003,11,201003,11,219168,"FLORIDA",2010,"March",0,0,0,0,2e+05,0,"EF1",1.41,70,2,"WSW","LAKE MARION LAKE",1,"SSW","LAKE MARION LAKE",28.069,-81.559,28.071,-81.536
201004,22,201004,22,220450,"COLORADO",2010,"April",0,0,0,0,0,0,"EF0",2.33,75,10,"NNE","KIT CARSON",11,"NW","FIRSTVIEW",38.8904,-102.6945,38.9223,-102.6805
201008,7,201008,7,239948,"MINNESOTA",2010,"August",0,0,0,0,NA,NA,"EF4",2.5,600,5,"SW","DORAN",3,"SW","DORAN",46.13,-96.563,46.1544,-96.5169
201008,7,201008,7,239950,"MINNESOTA",2010,"August",0,0,0,0,NA,NA,"EF0",1,15,3,"N","NASHUA",3,"N","NASHUA",46.08,-96.33,46.0734,-96.32
201008,7,201008,7,239951,"MINNESOTA",2010,"August",0,0,0,0,NA,NA,"EF1",4,75,4,"NE","WESTERN",7,"SSE","FERGUS FALLS",46.2,-96.12,46.1864,-96.014
201008,1,201008,1,239974,"NORTH DAKOTA",2010,"August",0,0,0,0,NA,NA,"EF1",10,150,5,"WNW","MUNICH",5,"ESE","MUNICH",48.6977,-98.9213,48.6423,-98.7188
201008,7,201008,7,239954,"MINNESOTA",2010,"August",0,0,0,0,NA,NA,"EF0",0.2,25,3,"NE","ROTHSAY",3,"NE","ROTHSAY",46.51,-96.24,46.51,-96.24
201008,10,201008,10,240824,"NORTH DAKOTA",2010,"August",0,0,0,0,NA,NA,"EF2",0.9,50,3,"SE","HOLMES",3,"SE","HOLMES",47.69,-97.25,47.691,-97.25
201007,10,201007,10,263238,"MINNESOTA",2010,"July",0,0,0,0,NA,NA,"EF0",0.4,15,2,"S","BLUFFTON",2,"S","BLUFFTON",46.4411,-95.23,46.4411,-95.23
